DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2022,1963379,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2023,2901535,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2012,234532,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2013,155776,bu
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2014,137369,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2015,135255,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2016,130858,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2017,111283,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2018,77272,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2019,201963,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2020,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DK,2022,119954,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2012,8831169,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2013,8579759,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2014,8474945,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2015,7277031,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2016,5870979,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2017,8848632,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2018,10082130,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2019,10388859,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2020,2747355,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2021,2750953,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2022,7306805,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EA20,2023,10394357,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2012,40237,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2013,26733,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2014,25777,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2015,26262,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2016,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2017,21739,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2018,50756,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2019,45877,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2020,28335,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2021,32147,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2022,32291,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EE,2023,60107,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2012,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2013,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2014,12205,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2015,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2016,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2017,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2018,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2019,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2020,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2022,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EL,2023,14946,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2012,812559,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2013,787499,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2014,784872,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2015,739327,b
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2016,842240,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2017,931755,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2018,1054519,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2019,1076864,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2020,191749,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2021,257290,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2022,928427,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,ES,2023,1476979,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2012,9989253,e
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2013,9539073,e
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2014,9525477,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2015,8173689,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2016,6610909,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2017,10109200,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2018,11201103,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2019,11860306,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2020,3003574,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2021,3235507,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2022,8537517,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,EU27_2020,2023,11754024,e
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2012,114500,bu
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2013,81352,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2014,72107,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2015,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2016,74686,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2017,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2018,87352,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2019,123922,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2020,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2022,91793,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FI,2023,75907,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2012,2492035,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2013,2297175,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2014,2064262,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2015,1495457,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2016,1248762,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2017,1947089,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2018,2209571,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2019,2430260,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2020,908460,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2021,624700,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2022,1900366,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,FR,2023,2858485,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2012,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2013,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2014,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2015,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2016,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2017,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2018,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2019,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2022,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HR,2023,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2012,66812,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2013,60654,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2014,55966,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2015,36499,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2016,27143,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2017,64231,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2018,52965,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2019,123119,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2020,9681,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2021,32900,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2022,50350,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,HU,2023,74656,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2012,55236,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2013,71202,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2014,79203,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2015,69697,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2016,54458,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2017,60511,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2018,58021,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2019,55130,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2020,30024,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2022,120120,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IE,2023,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2012,1029570,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2013,611662,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2014,925293,bu
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2015,942033,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2016,463055,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2017,395070,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2018,419752,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2019,876197,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2020,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2022,559175,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,IT,2023,808879,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,LT,2012,22991,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,LT,2013,22381,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,LT,2014,39120,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,LT,2015,28763,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,LT,2016,26513,
